Future;Last Price;Last Volume;Settlement Price;Volume Exchange;Volume Trade Registration;Open Interest
24.09.2024;;0;82.47;0;0;20584
24.10.2024;93.50;552;93.60;19320;11040;20246
24.11.2024;115.00;252;114.34;14364;4788;18688
24.12.2024;111.25;792;111.93;6072;2376;17495
25.01.2025;124.23;1380;124.26;2760;25668;240
25.02.2025;;0;124.81;0;21600;206
25.03.2025;;0;95.89;0;0;99
25.04.2025;;0;;0;0;0
25.05.2025;;0;;0;0;0
25.06.2025;;0;;0;0;0
