Future;Last Price;Last Volume;Settlement Price;Volume Exchange;Volume Trade Registration;Open Interest
24.09.2024;;0;78,31;0;0;253064
24.10.2024;78.30;1490;78,7;1245640;927525;268683
24.11.2024;89.13;1440;89,61;1646640;972000;224182
24.12.2024;87.38;744;88,17;531960;522288;211567
25.01.2025;99.35;1488;99,37;29016;58032;1108
25.02.2025;99.75;1344;99,86;45024;31584;616
25.03.2025;84.00;743;84,67;70585;52753;1325
25.04.2025;;0;77,77;0;720;100
25.05.2025;;0;71,89;0;0;3
25.06.2025;;0;78,5;0;0;51
